question,references,corpus_id,precision,recall,iou,context,ranges
What significant regulatory changes and proposals has President Biden's administration implemented or announced regarding fees and pricing transparency?,"[{""content"": ""My administration announced we\u2019re cutting credit card late fees from $32 to $8."", ""start_index"": 27346, ""end_index"": 27425}, {""content"": ""My administration has proposed rules to make cable, travel, utilities, and online ticket sellers tell you the total price up front so there are no surprises."", ""start_index"": 27866, ""end_index"": 28023}]",state_of_the_union,0.8047337278106509,0.576271186440678,0.5055762081784386,"[' raise prices to pad their profits, charging more and more for less and less.\n\nThat’s why we’re cracking down on corporations that engage in price gouging and deceptive pricing,']","[(26562, 26739)]"
What reasons did President Biden give for the failure of a particular bill's passage?,"[{""content"": ""But unfortunately, politics have derailed this bill so far."", ""start_index"": 29533, ""end_index"": 29592}, {""content"": ""I\u2019m told my predecessor called members of Congress in the Senate to demand they block the bill. He feels political win \u2014 he viewed it as a \u2014 it would be a political win for me and a political loser for him."", ""start_index"": 29594, ""end_index"": 29800}]",state_of_the_union,0.0,0.0,0.0,"['THE PRESIDENT: Oh, you don’t like that bill — huh? — that conservatives got together and said was a good bill? I’ll be darned. That’s']","[(28329, 28462)]"
How many people are no longer denied health insurance due to preexisting conditions according to President Biden?,"[{""content"": ""Over 100 million of you can no longer be denied health insurance because of a preexisting condition."", ""start_index"": 16996, ""end_index"": 17096}]",state_of_the_union,0.559748427672956,0.89,0.5235294117647059,[' Affordable Care Act — the old “Obamacare” is still a very big deal.\n\nOver 100 million of you can no longer be denied health insurance because of a preexisting'],"[(16926, 17085)]"
"Which country is Putin invading, causing chaos in Europe and beyond?","[{""content"": ""Overseas, Putin of Russia is on the march, invading Ukraine and sowing chaos throughout Europe and beyond."", ""start_index"": 1039, ""end_index"": 1145}]",state_of_the_union,0.6309523809523809,1.0,0.6309523809523809,"['.\n\nOverseas, Putin of Russia is on the march, invading Ukraine and sowing chaos throughout Europe and beyond.\n\nIf anybody in this room thinks Putin will stop at Ukraine']","[(1036, 1204)]"
When did the murder rate experience the sharpest decrease in history and how did violent crime rates change?,"[{""content"": ""Last year, the murder rate saw the sharpest decrease in history. Violent crime fell to one of its lowest levels in more than 50 years."", ""start_index"": 35632, ""end_index"": 35766}]",state_of_the_union,0.8322147651006712,0.9253731343283582,0.779874213836478,[' the murder rate saw the sharpest decrease in history. Violent crime fell to one of its lowest levels in more than 50 years.\n\nBut we have more to do.'],"[(35642, 35791)]"
What is the name of the new health research agency mentioned in President Biden's State of the Union Address that aims to do big things like ending cancer?,"[{""content"": ""And we owe it to ourselves to keep supporting our new health research agency called ARPA-H \u2014 and remind us \u2014 to remind us that we can do big things, like end cancer as we know it. And we will."", ""start_index"": 44220, ""end_index"": 44412}]",state_of_the_union,0.6742424242424242,0.4635416666666667,0.37872340425531914,"['’s health has always been underfunded.\n\nThat’s why we’re launching the first-ever White House Initiative on Women’s Health Research, led by Jill — doing an incredible job']","[(17686, 17856)]"
"According to President Biden, what is the current status of China compared to the past decade?","[{""content"": ""China is down to the lowest point in over a decade."", ""start_index"": 42669, ""end_index"": 42720}]",state_of_the_union,0.3269230769230769,1.0,0.3269230769230769,"[' years, I’ve heard many of my Republican and Democratic friends say that China is on the rise and America is falling behind. They’ve got it backwards. I’ve been saying']","[(42313, 42480)]"
What type of investment is being made by private companies in America according to President Biden's address?,"[{""content"": ""Well, instead of having to import them, instead of \u2014 private companies are now investing billions of dollars to build new chip factories here in America creating tens of thousands of jobs, many of those jobs paying $100,000 a year and don\u2019t require a college degree."", ""start_index"": 10656, ""end_index"": 10922}]",state_of_the_union,0.0053475935828877,0.0037593984962406013,0.0022123893805309734,"['.\n\nIn fact, my policies have attracted $650 billion in private-sector investment in clean energy, advanced manufacturing, creating tens of thousands of jobs here in America.\n\nAnd thanks —']","[(10921, 11108)]"
"At what age did President Biden get elected to the United States Senate, and was it planned?","[{""content"": ""I got elected to the United States Senate when I had no intention of running, at age 29."", ""start_index"": 45907, ""end_index"": 45995}]",state_of_the_union,0.3953488372093023,0.7727272727272727,0.3541666666666667,"[' United States Senate when I had no intention of running, at age 29.\n\nThen vice president to our first Black president. Now a president to the first woman vice president.\n\n']","[(45927, 46099)]"
What does President Biden refuse to do regarding the events of January 6th?,"[{""content"": ""My predecessor and some of you here seek to bury the truth about January 6th. I will not do that."", ""start_index"": 3786, ""end_index"": 3883}]",state_of_the_union,0.5362318840579711,0.7628865979381443,0.45962732919254656,[' of you here seek to bury the truth about January 6th. I will not do that.\n\nThis is a moment to speak the truth and to bury the lies. Here'],"[(3809, 3947)]"
